Area,Age,Sex,Year,Value,Flags
Nelson Region,20-24 years,Male,2013,1308,
Waipa District,15-19 years,Female,2013,1680,
Westland District,65-69 years,Female,2013,462,
Gisborne District,15-19 years,Male,2013,1518,
Southland District,85-89 years,Female,2013,120,
Central Otago District,50-54 years,Male,2013,681,
Ashburton District,95-99 years,Female,2013,24,
Hawke's Bay Region,80-84 years,Male,2013,1512,
Kaipatiki Local Board Area,65-69 years,Male,2013,1593,
Waitaki District,0-4 years,Male,2013,642,
Upper Hutt City,70-74 years,Male,2013,633,
Lower Hutt City,25-29 years,Female,2013,3150,
Otara-Papatoetoe Local Board Area,25-29 years,Male,2013,2775,
Far North District,55-59 years,Female,2013,2373,
Otara-Papatoetoe Local Board Area,90-94 years,Female,2013,99,
Masterton District,55-59 years,Female,2013,849,
Kapiti Coast District,40-44 years,Male,2013,1548,
Clutha District,25-29 years,Female,2013,363,
Manurewa Local Board Area,95-99 years,Male,2013,6,
Maungakiekie-Tamaki Local Board Area,5-9 years,Female,2013,2427,
Gisborne Region,75-79 years,Female,2013,582,
Wellington Region,55-59 years,Female,2013,14538,
Franklin Local Board Area,25-29 years,Male,2013,1353,
Howick Local Board Area,85-89 years,Male,2013,465,
Waikato Region,70-74 years,Male,2013,7560,
Great Barrier Local Board Area,15-19 years,Female,2013,15,
South Waikato District,85-89 years,Male,2013,84,
Waitakere Ranges Local Board Area,45-49 years,Female,2013,2037,
Whau Local Board Area,35-39 years,Male,2013,2439,
Palmerston North City,30-34 years,Male,2013,2355,
Manawatu-Wanganui Region,20-24 years,Male,2013,7839,
Kawerau District,70-74 years,Male,2013,153,
Orakei Local Board Area,100 years and over,Female,2013,24,
Timaru District,85-89 years,Female,2013,528,
Manurewa Local Board Area,55-59 years,Female,2013,2178,
Manawatu-Wanganui Region,85-89 years,Female,2013,1974,
West Coast Region,25-29 years,Female,2013,1065,
Otago Region,70-74 years,Female,2013,4482,
Matamata-Piako District,70-74 years,Female,2013,759,
Bay of Plenty Region,25-29 years,Female,2013,7404,
Henderson-Massey Local Board Area,95-99 years,Male,2013,6,
Otago Region,0-4 years,Male,2013,6195,
Nelson Region,30-34 years,Male,2013,1227,
Waimakariri District,95-99 years,Female,2013,33,
Thames-Coromandel District,60-64 years,Female,2013,1443,
Hauraki District,40-44 years,Female,2013,570,
Area outside territorial authority,70-74 years,Female,2013,12,
Maungakiekie-Tamaki Local Board Area,75-79 years,Female,2013,651,
Area Outside Region,90-94 years,Male,2013,0,
Hastings District,90-94 years,Female,2013,285,
Christchurch City,75-79 years,Female,2013,5187,
Area Outside Region,10-14 years,Male,2013,9,
Christchurch City,90-94 years,Male,2013,609,
Far North District,80-84 years,Male,2013,597,
Queenstown-Lakes District,20-24 years,Male,2013,1392,
Chatham Islands Territory,25-29 years,Male,2013,21,
Ruapehu District,35-39 years,Female,2013,366,
Opotiki District,45-49 years,Male,2013,255,
Henderson-Massey Local Board Area,55-59 years,Female,2013,3039,
Auckland,60-64 years,Female,2013,36399,
Porirua City,65-69 years,Female,2013,1053,
Upper Harbour Local Board Area,60-64 years,Female,2013,1329,
Orakei Local Board Area,15-19 years,Female,2013,2343,
Wairoa District,50-54 years,Female,2013,309,
Southland District,15-19 years,Female,2013,816,
Otorohanga District,95-99 years,Male,2013,3,
Masterton District,80-84 years,Male,2013,249,
Kaipatiki Local Board Area,40-44 years,Female,2013,3351,
Wellington Region,80-84 years,Male,2013,3576,
Franklin Local Board Area,35-39 years,Male,2013,1881,
Stratford District,20-24 years,Male,2013,237,
Wanganui District,80-84 years,Female,2013,696,
Gisborne Region,85-89 years,Female,2013,282,
Great Barrier Local Board Area,85-89 years,Female,2013,6,
West Coast Region,35-39 years,Female,2013,1056,
Orakei Local Board Area,30-34 years,Female,2013,2556,
Matamata-Piako District,5-9 years,Male,2013,1128,
Carterton District,45-49 years,Male,2013,285,
Bay of Plenty Region,100 years and over,Female,2013,33,
Waimate District,40-44 years,Male,2013,252,
Tauranga City,45-49 years,Male,2013,3591,
Waiheke Local Board Area,95-99 years,Male,2013,0,
Kapiti Coast District,30-34 years,Male,2013,870,
Matamata-Piako District,100 years and over,Male,2013,3,
Opotiki District,10-14 years,Female,2013,315,
Waitaki District,60-64 years,Female,2013,828,
Chatham Islands Territory,20-24 years,Male,2013,24,
Wellington Region,85-89 years,Male,2013,1959,
Selwyn District,80-84 years,Male,2013,246,
Grey District,5-9 years,Female,2013,372,
Central Otago District,55-59 years,Male,2013,768,
Maungakiekie-Tamaki Local Board Area,85-89 years,Female,2013,450,
Waitomo District,40-44 years,Male,2013,279,
Southland District,90-94 years,Female,2013,48,
Great Barrier Local Board Area,95-99 years,Female,2013,0,
Whakatane District,60-64 years,Female,2013,1008,
Canterbury Region,40-44 years,Male,2013,19497,
Kaipara District,30-34 years,Male,2013,429,
Palmerston North City,95-99 years,Female,2013,66,
Rodney Local Board Area,100 years and over,Female,2013,3,
Waikato District,20-24 years,Female,2013,1632,
Kawerau District,40-44 years,Female,2013,189,
Hauraki District,65-69 years,Male,2013,630,
Central Hawke's Bay District,55-59 years,Female,2013,528,
Gore District,75-79 years,Female,2013,255,
South Wairarapa District,0-4 years,Female,2013,336,
Rodney Local Board Area,30-34 years,Female,2013,1296,
Northland Region,15-19 years,Female,2013,4644,
Gisborne District,90-94 years,Male,2013,48,
Southland Region,40-44 years,Female,2013,3387,
Northland Region,5-9 years,Female,2013,5493,
Henderson-Massey Local Board Area,15-19 years,Male,2013,3990,
Mackenzie District,40-44 years,Female,2013,201,
Buller District,50-54 years,Male,2013,546,
Tararua District,95-99 years,Male,2013,6,
Kaipara District,100 years and over,Male,2013,0,
"Total, Territorial Authority areas",20-24 years,Female,2013,152301,
Kaipatiki Local Board Area,35-39 years,Female,2013,3369,
Devonport-Takapuna Local Board Area,5-9 years,Female,2013,1665,
Masterton District,45-49 years,Female,2013,792,
