Area,Highest qualification,Age group,Sex,Value,Flags
Northland Region,No qualification,15-19 years,Male,1431,
Northland Region,No qualification,15-19 years,Female,1176,
Northland Region,Level 1 certificate,15-19 years,Male,1050,
Northland Region,Level 1 certificate,15-19 years,Female,1035,
Northland Region,Level 2 certificate,15-19 years,Male,1119,
Northland Region,Level 2 certificate,15-19 years,Female,1008,
Northland Region,Level 3 certificate,15-19 years,Male,432,
Northland Region,Level 3 certificate,15-19 years,Female,552,
Northland Region,Level 4 certificate,15-19 years,Male,81,
Northland Region,Level 4 certificate,15-19 years,Female,63,
Northland Region,Level 5 or level 6 diploma,15-19 years,Male,27,
Northland Region,Level 5 or level 6 diploma,15-19 years,Female,30,
Northland Region,Bachelor degree and level 7 qualification,15-19 years,Male,3,
Northland Region,Bachelor degree and level 7 qualification,15-19 years,Female,9,
Northland Region,Post-graduate and honours degrees,15-19 years,Male,0,
Northland Region,Post-graduate and honours degrees,15-19 years,Female,0,
Northland Region,Masters degree,15-19 years,Male,0,
Northland Region,Masters degree,15-19 years,Female,0,
Northland Region,Doctorate degree,15-19 years,Male,0,
Northland Region,Doctorate degree,15-19 years,Female,0,
Northland Region,Overseas secondary school qualification,15-19 years,Male,63,
Northland Region,Overseas secondary school qualification,15-19 years,Female,48,
Northland Region,Not elsewhere included,15-19 years,Male,798,
Northland Region,Not elsewhere included,15-19 years,Female,708,
Auckland Region,No qualification,15-19 years,Male,10662,
Auckland Region,No qualification,15-19 years,Female,8970,
Auckland Region,Level 1 certificate,15-19 years,Male,9810,
Auckland Region,Level 1 certificate,15-19 years,Female,9810,
Auckland Region,Level 2 certificate,15-19 years,Male,10380,
Auckland Region,Level 2 certificate,15-19 years,Female,9789,
Auckland Region,Level 3 certificate,15-19 years,Male,10371,
Auckland Region,Level 3 certificate,15-19 years,Female,12882,
Auckland Region,Level 4 certificate,15-19 years,Male,753,
Auckland Region,Level 4 certificate,15-19 years,Female,672,
Auckland Region,Level 5 or level 6 diploma,15-19 years,Male,564,
Auckland Region,Level 5 or level 6 diploma,15-19 years,Female,552,
Auckland Region,Bachelor degree and level 7 qualification,15-19 years,Male,93,
Auckland Region,Bachelor degree and level 7 qualification,15-19 years,Female,117,
Auckland Region,Post-graduate and honours degrees,15-19 years,Male,18,
Auckland Region,Post-graduate and honours degrees,15-19 years,Female,24,
Auckland Region,Masters degree,15-19 years,Male,6,
Auckland Region,Masters degree,15-19 years,Female,6,
Auckland Region,Doctorate degree,15-19 years,Male,0,
Auckland Region,Doctorate degree,15-19 years,Female,0,
Auckland Region,Overseas secondary school qualification,15-19 years,Male,2385,
Auckland Region,Overseas secondary school qualification,15-19 years,Female,1710,
Auckland Region,Not elsewhere included,15-19 years,Male,7062,
Auckland Region,Not elsewhere included,15-19 years,Female,6285,
Waikato Region,No qualification,15-19 years,Male,3711,
Waikato Region,No qualification,15-19 years,Female,3249,
Waikato Region,Level 1 certificate,15-19 years,Male,3165,
Waikato Region,Level 1 certificate,15-19 years,Female,2838,
Waikato Region,Level 2 certificate,15-19 years,Male,3480,
Waikato Region,Level 2 certificate,15-19 years,Female,3030,
Waikato Region,Level 3 certificate,15-19 years,Male,1968,
Waikato Region,Level 3 certificate,15-19 years,Female,2646,
Waikato Region,Level 4 certificate,15-19 years,Male,300,
Waikato Region,Level 4 certificate,15-19 years,Female,225,
Waikato Region,Level 5 or level 6 diploma,15-19 years,Male,105,
Waikato Region,Level 5 or level 6 diploma,15-19 years,Female,117,
Waikato Region,Bachelor degree and level 7 qualification,15-19 years,Male,21,
Waikato Region,Bachelor degree and level 7 qualification,15-19 years,Female,18,
Waikato Region,Post-graduate and honours degrees,15-19 years,Male,9,
Waikato Region,Post-graduate and honours degrees,15-19 years,Female,6,
Waikato Region,Masters degree,15-19 years,Male,3,
Waikato Region,Masters degree,15-19 years,Female,0,
Waikato Region,Doctorate degree,15-19 years,Male,0,
Waikato Region,Doctorate degree,15-19 years,Female,3,
Waikato Region,Overseas secondary school qualification,15-19 years,Male,198,
Waikato Region,Overseas secondary school qualification,15-19 years,Female,171,
Waikato Region,Not elsewhere included,15-19 years,Male,1710,
Waikato Region,Not elsewhere included,15-19 years,Female,1509,
Bay of Plenty Region,No qualification,15-19 years,Male,2331,
Bay of Plenty Region,No qualification,15-19 years,Female,1980,
Bay of Plenty Region,Level 1 certificate,15-19 years,Male,2025,
Bay of Plenty Region,Level 1 certificate,15-19 years,Female,2010,
Bay of Plenty Region,Level 2 certificate,15-19 years,Male,1995,
Bay of Plenty Region,Level 2 certificate,15-19 years,Female,1893,
Bay of Plenty Region,Level 3 certificate,15-19 years,Male,921,
Bay of Plenty Region,Level 3 certificate,15-19 years,Female,1032,
Bay of Plenty Region,Level 4 certificate,15-19 years,Male,207,
Bay of Plenty Region,Level 4 certificate,15-19 years,Female,168,
Bay of Plenty Region,Level 5 or level 6 diploma,15-19 years,Male,102,
Bay of Plenty Region,Level 5 or level 6 diploma,15-19 years,Female,120,
Bay of Plenty Region,Bachelor degree and level 7 qualification,15-19 years,Male,6,
Bay of Plenty Region,Bachelor degree and level 7 qualification,15-19 years,Female,15,
Bay of Plenty Region,Post-graduate and honours degrees,15-19 years,Male,3,
Bay of Plenty Region,Post-graduate and honours degrees,15-19 years,Female,3,
Bay of Plenty Region,Masters degree,15-19 years,Male,0,
Bay of Plenty Region,Masters degree,15-19 years,Female,3,
Bay of Plenty Region,Doctorate degree,15-19 years,Male,0,
Bay of Plenty Region,Doctorate degree,15-19 years,Female,0,
Bay of Plenty Region,Overseas secondary school qualification,15-19 years,Male,129,
Bay of Plenty Region,Overseas secondary school qualification,15-19 years,Female,87,
Bay of Plenty Region,Not elsewhere included,15-19 years,Male,1230,
Bay of Plenty Region,Not elsewhere included,15-19 years,Female,1110,
Gisborne Region,No qualification,15-19 years,Male,423,
Gisborne Region,No qualification,15-19 years,Female,342,
Gisborne Region,Level 1 certificate,15-19 years,Male,360,
Gisborne Region,Level 1 certificate,15-19 years,Female,378,
Gisborne Region,Level 2 certificate,15-19 years,Male,345,
